id,name,region,platforms,missing_dedicated_destinations,model,score_breakdown,official_url,english_description,english_features,last_verified,pricing_source,pricing_last_checked,latest_major_update,available_countries,free_trial_requirements,affiliate_disclosure,logo,missing_count,action
spline,Spline,overseas,web;macos;windows;linux,desktop,false,false,false,false,false,true,true,true,true,true,true,true,false,8,REVIEW_PRIORITY
manus,Manus,domestic,web;macos;windows,desktop,false,false,false,false,true,false,true,true,true,true,true,true,true,9,REVIEW_PRIORITY
devin,Devin,overseas,web;api,api,false,false,false,false,true,true,true,true,true,true,true,true,true,10,REVIEW_PRIORITY
openai-operator,Operator,overseas,web,,false,false,false,false,true,true,true,true,true,true,true,true,true,9,REVIEW_PRIORITY
autogpt,AutoGPT,overseas,web,,false,false,false,false,true,true,true,true,true,true,true,true,true,9,REVIEW_PRIORITY
consensus,Consensus,overseas,web,,false,false,false,false,true,true,true,true,true,true,true,true,true,9,REVIEW_PRIORITY
elicit,Elicit,overseas,web,,false,false,false,false,true,true,true,true,true,true,true,true,true,9,REVIEW_PRIORITY
scispace,SciSpace,overseas,web,,false,false,false,false,true,true,true,true,true,true,true,true,true,9,REVIEW_PRIORITY
semantic-scholar,Semantic Scholar,overseas,web;api,api,false,false,false,false,true,true,true,true,true,true,true,true,true,10,REVIEW_PRIORITY
capcut,剪映 / CapCut,domestic,web;ios;android;windows;macos,desktop,false,false,false,false,true,false,true,true,true,true,true,true,true,9,REVIEW_PRIORITY
opus-clip,Opus Clip,overseas,web,,false,false,false,false,true,true,true,true,true,true,true,true,true,9,REVIEW_PRIORITY
fliki,Fliki,overseas,web,,false,false,false,false,true,true,true,true,true,true,true,true,true,9,REVIEW_PRIORITY
invideo,InVideo,overseas,web,,false,false,false,false,true,true,true,true,true,true,true,true,true,9,REVIEW_PRIORITY
zapier,Zapier,overseas,web,,false,false,false,false,true,false,true,true,true,true,true,true,true,8,REVIEW_PRIORITY
make,Make,overseas,web,,false,false,false,false,true,true,true,true,true,true,true,true,true,9,REVIEW_PRIORITY
n8n,n8n,overseas,web;api,api,false,false,false,false,true,true,true,true,true,true,true,true,true,10,REVIEW_PRIORITY
relay-app,Relay.app,overseas,web,,false,false,false,false,true,true,true,true,true,true,true,true,true,9,REVIEW_PRIORITY
latenode,Latenode,overseas,web,,false,false,false,false,true,true,true,true,true,true,true,true,true,9,REVIEW_PRIORITY
chatpdf,ChatPDF,overseas,web,,false,false,false,false,true,true,true,true,true,true,true,true,true,9,REVIEW_PRIORITY
pdf-ai,PDF.ai,overseas,web,,false,false,false,false,true,true,true,true,true,true,true,true,true,9,REVIEW_PRIORITY
